Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_30deg_sub_ave_cm-1.dat
  2.341918e+00   7.279393e-04   1.651258e-04
  2.354614e+00   1.398524e-04   1.628860e-04
  2.367309e+00   2.088819e-04   1.627146e-04
  2.380004e+00   2.128277e-04   1.627085e-04
  2.392699e+00   5.208520e-04   1.635644e-04
  2.405393e+00   2.105963e-04   1.620022e-04
  2.418086e+00   2.247047e-04   1.625222e-04
  2.430779e+00   4.406387e-04   1.598270e-04
  2.443472e+00  -4.053185e-05   1.600264e-04
  2.456163e+00   1.344722e-04   1.593508e-04
  2.468855e+00   6.258347e-05   1.606286e-04
  2.481545e+00   5.108878e-04   1.596186e-04
  2.494236e+00   6.353230e-04   1.605974e-04
  2.506925e+00   3.756399e-04   1.610827e-04
  2.519614e+00   1.304590e-04   1.583797e-04
  2.532303e+00   2.950520e-04   1.578319e-04
  2.544991e+00  -3.132132e-05   1.565702e-04
  2.557679e+00  -4.514379e-05   1.576577e-04
  2.570366e+00   3.985526e-04   1.605710e-04
  2.583052e+00   2.427434e-04   1.567441e-04
  2.595738e+00   1.469494e-04   1.550128e-04
  2.608423e+00   9.562179e-05   1.556157e-04
  2.621108e+00   3.767532e-04   1.572081e-04
  2.633792e+00  -4.795709e-05   1.569583e-04
  2.646475e+00   4.818213e-05   1.550271e-04
  2.659158e+00  -1.353274e-05   1.549887e-04
  2.671840e+00   1.184747e-04   1.528848e-04
  2.684522e+00   1.210599e-04   1.535660e-04
  2.697203e+00   1.147749e-05   1.536145e-04
  2.709884e+00   3.034585e-04   1.525636e-04
  2.722564e+00   3.767761e-04   1.548811e-04
  2.735243e+00   3.959742e-04   1.528385e-04
  2.747922e+00   8.091934e-05   1.520879e-04
  2.760600e+00   5.054812e-04   1.531343e-04
  2.773278e+00   9.908408e-05   1.528979e-04
  2.785955e+00   2.550080e-04   1.539970e-04
  2.798631e+00   1.848691e-04   1.513833e-04
  2.811307e+00   4.041154e-04   1.528849e-04
  2.823982e+00   2.657312e-04   1.508194e-04
  2.836657e+00   4.885435e-04   1.506177e-04
  2.849331e+00  -2.032753e-04   1.499440e-04
  2.862004e+00   2.164868e-04   1.494914e-04
  2.874677e+00  -5.942985e-05   1.512903e-04
  2.887349e+00   3.751491e-04   1.497834e-04
  2.900020e+00   2.213744e-04   1.481682e-04
  2.912691e+00   2.282466e-04   1.483445e-04
  2.925361e+00   1.613494e-04   1.493768e-04
  2.938031e+00   2.741769e-04   1.509769e-04
  2.950700e+00   1.653822e-05   1.464190e-04
  2.963368e+00   4.096513e-04   1.499822e-04
  2.976035e+00  -7.483179e-05   1.450585e-04
  2.988702e+00  -2.653180e-05   1.465409e-04
  3.001369e+00  -1.068115e-04   1.471659e-04
  3.014034e+00   3.841309e-05   1.453554e-04
  3.026699e+00   1.435127e-06   1.475628e-04
  3.039364e+00   3.948092e-06   1.446259e-04
  3.052027e+00   2.306239e-04   1.461435e-04
  3.064690e+00   1.148057e-04   1.463024e-04
  3.077353e+00   1.044534e-05   1.444566e-04
  3.090014e+00   2.221036e-04   1.454330e-04
  3.102675e+00   3.052026e-04   1.437062e-04
  3.115336e+00   1.375492e-04   1.450678e-04
  3.127995e+00  -7.401541e-05   1.441214e-04
  3.140654e+00  -4.853082e-05   1.435269e-04
  3.153312e+00   1.143328e-04   1.459810e-04
  3.165970e+00   8.954153e-05   1.418419e-04
  3.178627e+00  -9.449403e-06   1.437206e-04
  3.191283e+00   3.552447e-04   1.441093e-04
  3.203939e+00  -5.183459e-05   1.438103e-04
