Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_30degBack_sub_ave_cm-1.dat
  2.544991e+00   2.861514e-04   1.587352e-04
  2.557679e+00  -1.364585e-05   1.579037e-04
  2.570366e+00   2.307602e-04   1.594929e-04
  2.583052e+00   1.379646e-04   1.560908e-04
  2.595738e+00   3.250471e-04   1.562220e-04
  2.608423e+00   2.874735e-04   1.569149e-04
  2.621108e+00   1.709620e-05   1.548587e-04
  2.633792e+00   1.577597e-05   1.574181e-04
  2.646475e+00  -3.141438e-04   1.527034e-04
  2.659158e+00   2.666876e-04   1.568858e-04
  2.671840e+00   2.178699e-04   1.535709e-04
  2.684522e+00  -6.237143e-05   1.523833e-04
  2.697203e+00   1.420949e-04   1.545013e-04
  2.709884e+00   4.396335e-05   1.509123e-04
  2.722564e+00   4.842316e-04   1.556184e-04
  2.735243e+00   3.457359e-04   1.525485e-04
  2.747922e+00   9.809923e-05   1.522340e-04
  2.760600e+00  -7.030515e-06   1.498571e-04
  2.773278e+00  -3.720548e-05   1.520520e-04
  2.785955e+00   1.971682e-04   1.536580e-04
  2.798631e+00   6.177469e-05   1.506293e-04
  2.811307e+00   2.784793e-04   1.521135e-04
  2.823982e+00   1.400048e-04   1.500537e-04
  2.836657e+00   3.472460e-04   1.497426e-04
  2.849331e+00   2.471174e-04   1.528636e-04
  2.862004e+00   2.510994e-05   1.483128e-04
  2.874677e+00  -4.234775e-05   1.514340e-04
  2.887349e+00   1.125532e-05   1.475051e-04
  2.900020e+00   5.224158e-04   1.501170e-04
  2.912691e+00   2.250200e-04   1.483580e-04
  2.925361e+00  -5.441112e-05   1.480468e-04
  2.938031e+00   7.118842e-05   1.497306e-04
  2.950700e+00   2.208533e-06   1.463619e-04
  2.963368e+00   2.938436e-04   1.492841e-04
  2.976035e+00   5.952337e-04   1.492619e-04
  2.988702e+00  -3.842187e-05   1.464998e-04
  3.001369e+00   2.823276e-05   1.480542e-04
  3.014034e+00  -3.344530e-05   1.449424e-04
  3.026699e+00   9.641546e-05   1.481955e-04
  3.039364e+00   1.899340e-04   1.458177e-04
  3.052027e+00   3.496610e-05   1.449533e-04
  3.064690e+00  -1.464922e-04   1.446992e-04
  3.077353e+00   1.045062e-04   1.450615e-04
  3.090014e+00   2.547756e-04   1.456724e-04
  3.102675e+00   1.427387e-04   1.427453e-04
  3.115336e+00   5.603056e-05   1.445926e-04
  3.127995e+00   3.600145e-05   1.448290e-04
  3.140654e+00  -3.731031e-05   1.436280e-04
  3.153312e+00   2.895994e-06   1.453271e-04
  3.165970e+00  -5.903628e-05   1.409623e-04
  3.178627e+00   6.639490e-05   1.442211e-04
  3.191283e+00   1.607036e-04   1.429543e-04
  3.203939e+00  -7.887337e-05   1.436781e-04
  3.216593e+00   1.947836e-04   1.440560e-04
  3.229248e+00   2.403632e-04   1.403320e-04
  3.241901e+00  -1.498922e-04   1.422946e-04
  3.254554e+00   1.302860e-04   1.417327e-04
