q[nm-1]	merged(TipAS_1.96mgml-1_30deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30deg_1-2_ave_sub.dat],scale_high,lq=0.9025,hq=0.9995)	error
1.64809700e+00	9.00119224e-04	2.90724404e-05
1.65325900e+00	9.12793489e-04	2.91823464e-05
1.65842100e+00	9.58097244e-04	2.92079766e-05
1.66358200e+00	9.24306080e-04	2.89228953e-05
1.66874400e+00	8.59726451e-04	2.90948656e-05
1.67390600e+00	8.68889965e-04	2.90003340e-05
1.67906800e+00	8.79714470e-04	2.87674978e-05
1.68422900e+00	8.45778109e-04	2.89892050e-05
1.68939100e+00	8.25381623e-04	2.88706874e-05
1.69455300e+00	8.10025711e-04	2.87611622e-05
1.69971500e+00	8.44224412e-04	2.91455036e-05
1.70487600e+00	8.02503124e-04	2.86194669e-05
1.71003800e+00	7.85896915e-04	2.86754743e-05
1.71520000e+00	8.53787474e-04	2.87680273e-05
1.72036200e+00	8.18580008e-04	2.86683956e-05
1.72552300e+00	7.26911988e-04	2.85064953e-05
1.73068500e+00	7.54921914e-04	2.86721765e-05
1.73584700e+00	8.00112893e-04	2.85916537e-05
1.74100900e+00	7.91545126e-04	2.84216249e-05
1.74617100e+00	7.41302147e-04	2.88072018e-05
1.75133200e+00	7.20139635e-04	2.84487043e-05
1.75649400e+00	6.96232306e-04	2.82658279e-05
1.76165600e+00	7.03979330e-04	2.84329397e-05
1.76681800e+00	7.08485841e-04	2.82419163e-05
1.77197900e+00	7.09460513e-04	2.82229932e-05
1.77714100e+00	6.80438478e-04	2.83019740e-05
1.78230300e+00	7.51340283e-04	2.82160167e-05
1.78746500e+00	6.51803823e-04	2.79810903e-05
1.79262600e+00	6.54898489e-04	2.82588699e-05
1.79778800e+00	7.31397690e-04	2.79489945e-05
1.80295000e+00	7.07265457e-04	2.77481333e-05
1.80811200e+00	6.83937152e-04	2.80433218e-05
1.81327300e+00	6.10669920e-04	2.78771203e-05
1.81843500e+00	6.92288006e-04	2.77916647e-05
1.82359700e+00	6.33298527e-04	2.79735471e-05
1.82875900e+00	6.16046965e-04	2.78403704e-05
1.83392000e+00	6.10549154e-04	2.77746646e-05
1.83908200e+00	6.45631210e-04	2.78968423e-05
