Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_20degBACK_1-2_ave_sub.dat
  1.260965e+00   2.699549e-03   3.262006e-05
  1.266127e+00   2.612560e-03   3.290699e-05
  1.271289e+00   2.612685e-03   3.259171e-05
  1.276450e+00   2.581691e-03   3.240327e-05
  1.281612e+00   2.531382e-03   3.258732e-05
  1.286774e+00   2.526759e-03   3.242262e-05
  1.291936e+00   2.487546e-03   3.305268e-05
  1.297097e+00   2.442774e-03   3.330276e-05
  1.302259e+00   2.337079e-03   3.322556e-05
  1.307421e+00   2.383367e-03   3.361201e-05
  1.312583e+00   2.347280e-03   3.376544e-05
  1.317744e+00   2.294329e-03   3.366143e-05
  1.322906e+00   2.272248e-03   3.388129e-05
  1.328068e+00   2.246037e-03   3.437887e-05
  1.333230e+00   2.190459e-03   3.399649e-05
  1.338391e+00   2.236062e-03   3.455051e-05
  1.343553e+00   2.206735e-03   3.448063e-05
  1.348715e+00   2.204031e-03   3.439678e-05
  1.353877e+00   2.118831e-03   3.452702e-05
  1.359038e+00   2.174655e-03   3.403403e-05
  1.364200e+00   2.153762e-03   3.372133e-05
  1.369362e+00   2.091844e-03   3.326826e-05
  1.374524e+00   2.037853e-03   3.344939e-05
  1.379686e+00   2.055299e-03   3.335007e-05
  1.384847e+00   1.943848e-03   3.298910e-05
  1.390009e+00   1.973649e-03   3.319316e-05
  1.395171e+00   1.978936e-03   3.277159e-05
  1.400333e+00   1.924053e-03   3.278381e-05
  1.405494e+00   1.848080e-03   3.278292e-05
  1.410656e+00   1.858872e-03   3.262945e-05
  1.415818e+00   1.914221e-03   3.243429e-05
  1.420980e+00   1.815211e-03   3.272037e-05
  1.426141e+00   1.780491e-03   3.250670e-05
  1.431303e+00   1.842511e-03   3.237314e-05
  1.436465e+00   1.817587e-03   3.245332e-05
  1.441627e+00   1.778567e-03   3.223265e-05
  1.446788e+00   1.747035e-03   3.211690e-05
  1.451950e+00   1.685499e-03   3.230326e-05
  1.457112e+00   1.652733e-03   3.187532e-05
  1.462274e+00   1.703585e-03   3.188860e-05
  1.467435e+00   1.660512e-03   3.198641e-05
  1.472597e+00   1.664785e-03   3.207414e-05
  1.477759e+00   1.583548e-03   3.167104e-05
  1.482921e+00   1.620873e-03   3.184890e-05
  1.488083e+00   1.567026e-03   3.167431e-05
  1.493244e+00   1.597532e-03   3.162911e-05
  1.498406e+00   1.481422e-03   3.176314e-05
  1.503568e+00   1.530539e-03   3.150934e-05
  1.508730e+00   1.500450e-03   3.145727e-05
  1.513891e+00   1.538125e-03   3.167704e-05
  1.519053e+00   1.474060e-03   3.161318e-05
  1.524215e+00   1.468138e-03   3.144218e-05
  1.529377e+00   1.453158e-03   3.145462e-05
  1.534538e+00   1.387474e-03   3.146453e-05
  1.539700e+00   1.403135e-03   3.119671e-05
  1.544862e+00   1.423015e-03   3.147725e-05
  1.550024e+00   1.371047e-03   3.123137e-05
  1.555185e+00   1.355538e-03   3.110932e-05
  1.560347e+00   1.370674e-03   3.135214e-05
  1.565509e+00   1.376848e-03   3.127770e-05
  1.570671e+00   1.319720e-03   3.087884e-05
  1.575832e+00   1.261604e-03   3.113664e-05
  1.580994e+00   1.302714e-03   3.107843e-05
  1.586156e+00   1.272409e-03   3.090719e-05
  1.591318e+00   1.250378e-03   3.101731e-05
  1.596480e+00   1.279955e-03   3.088448e-05
  1.601641e+00   1.281574e-03   3.076628e-05
  1.606803e+00   1.246405e-03   3.095272e-05
  1.611965e+00   1.181260e-03   3.075553e-05
  1.617127e+00   1.244347e-03   3.070846e-05
  1.622288e+00   1.169549e-03   3.072623e-05
  1.627450e+00   1.218056e-03   3.074328e-05
  1.632612e+00   1.168199e-03   3.049114e-05
  1.637774e+00   1.098570e-03   3.075790e-05
  1.642935e+00   1.151390e-03   3.051444e-05
  1.648097e+00   1.109801e-03   3.047288e-05
  1.653259e+00   1.111563e-03   3.054955e-05
  1.658421e+00   1.099400e-03   3.058379e-05
  1.663582e+00   1.072512e-03   3.032101e-05
  1.668744e+00   1.046283e-03   3.049968e-05
  1.673906e+00   1.071355e-03   3.036997e-05
  1.679068e+00   1.016060e-03   3.015992e-05
  1.684229e+00   1.031218e-03   3.035058e-05
  1.689391e+00   1.023480e-03   3.028784e-05
  1.694553e+00   1.022328e-03   3.013859e-05
  1.699715e+00   1.036948e-03   3.059260e-05
  1.704876e+00   1.009110e-03   3.003416e-05
  1.710038e+00   9.818549e-04   3.007321e-05
  1.715200e+00   9.939831e-04   3.013246e-05
  1.720362e+00   9.512818e-04   3.004436e-05
  1.725523e+00   9.177633e-04   2.985724e-05
  1.730685e+00   9.280704e-04   3.002927e-05
  1.735847e+00   9.338408e-04   2.988175e-05
  1.741009e+00   9.006048e-04   2.976267e-05
  1.746171e+00   8.746045e-04   3.014785e-05
  1.751332e+00   9.219012e-04   2.983907e-05
  1.756494e+00   8.584059e-04   2.955638e-05
  1.761656e+00   8.663190e-04   2.984173e-05
  1.766818e+00   9.024161e-04   2.958605e-05
  1.771979e+00   9.079176e-04   2.955676e-05
  1.777141e+00   8.403461e-04   2.966893e-05
  1.782303e+00   8.096702e-04   2.952667e-05
  1.787465e+00   8.288415e-04   2.932477e-05
  1.792626e+00   7.637676e-04   2.957991e-05
  1.797788e+00   7.772405e-04   2.926776e-05
  1.802950e+00   7.734788e-04   2.908371e-05
  1.808112e+00   7.205150e-04   2.933070e-05
  1.813273e+00   7.592751e-04   2.916706e-05
  1.818435e+00   7.551054e-04   2.907017e-05
  1.823597e+00   7.660003e-04   2.930580e-05
  1.828759e+00   7.767922e-04   2.913004e-05
  1.833920e+00   7.333648e-04   2.908056e-05
  1.839082e+00   7.114135e-04   2.915791e-05
  1.844244e+00   7.151258e-04   2.909279e-05
  1.849406e+00   6.708869e-04   2.879260e-05
  1.854568e+00   7.004423e-04   2.914652e-05
  1.859729e+00   6.856826e-04   2.908456e-05
  1.864891e+00   6.928248e-04   2.880642e-05
  1.870053e+00   6.309702e-04   2.908459e-05
  1.875215e+00   7.227568e-04   2.891249e-05
  1.880376e+00   6.926769e-04   2.885503e-05
  1.885538e+00   7.029710e-04   2.901477e-05
  1.890700e+00   6.618527e-04   2.883638e-05
  1.895862e+00   6.143139e-04   2.865957e-05
  1.901023e+00   6.298359e-04   2.888697e-05
  1.906185e+00   6.191472e-04   2.880397e-05
  1.911347e+00   6.162867e-04   2.859239e-05
  1.916509e+00   6.252627e-04   2.886582e-05
  1.921670e+00   6.015359e-04   2.860836e-05
  1.926832e+00   5.669097e-04   2.877619e-05
  1.931994e+00   6.068040e-04   2.877637e-05
  1.937156e+00   5.647442e-04   2.852402e-05
  1.942317e+00   5.978774e-04   2.850036e-05
  1.947479e+00   6.052931e-04   2.869840e-05
  1.952641e+00   5.793738e-04   2.856757e-05
  1.957803e+00   5.827141e-04   2.843355e-05
  1.962964e+00   5.445997e-04   2.858136e-05
  1.968126e+00   5.787193e-04   2.852677e-05
  1.973288e+00   5.635156e-04   2.843589e-05
  1.978450e+00   5.651476e-04   2.859298e-05
  1.983611e+00   5.584627e-04   2.845929e-05
  1.988773e+00   5.144928e-04   2.829134e-05
  1.993935e+00   5.693532e-04   2.846168e-05
  1.999097e+00   5.031361e-04   2.831343e-05
  2.004259e+00   5.636546e-04   2.827722e-05
  2.009420e+00   4.998452e-04   2.848442e-05
  2.014582e+00   4.889278e-04   2.838060e-05
  2.019744e+00   5.299655e-04   2.827645e-05
  2.024906e+00   5.295844e-04   2.832660e-05
  2.030067e+00   5.532125e-04   2.827614e-05
  2.035229e+00   4.889816e-04   2.805889e-05
  2.040391e+00   4.869282e-04   2.827072e-05
  2.045553e+00   5.137486e-04   2.816018e-05
  2.050714e+00   4.690210e-04   2.808868e-05
  2.055876e+00   5.229981e-04   2.829575e-05
  2.061038e+00   4.693572e-04   2.808191e-05
  2.066200e+00   4.881880e-04   2.816647e-05
  2.071362e+00   4.452673e-04   2.817373e-05
  2.076523e+00   5.115920e-04   2.800887e-05
  2.081685e+00   4.760198e-04   2.795998e-05
  2.086847e+00   4.295884e-04   2.810260e-05
  2.092008e+00   4.110984e-04   2.801545e-05
  2.097170e+00   3.857038e-04   2.792336e-05
  2.102332e+00   4.439715e-04   2.806033e-05
  2.107494e+00   4.490827e-04   2.802721e-05
  2.112655e+00   4.853051e-04   2.865322e-05
  2.117817e+00   4.187697e-04   2.896486e-05
  2.122979e+00   4.224282e-04   2.894738e-05
  2.128141e+00   4.621298e-04   2.926034e-05
  2.133302e+00   3.934468e-04   2.947677e-05
  2.138464e+00   4.088701e-04   2.948284e-05
  2.143626e+00   4.228676e-04   2.986622e-05
  2.148788e+00   4.159182e-04   2.992906e-05
  2.153949e+00   3.725760e-04   2.994876e-05
  2.159111e+00   4.075878e-04   3.014029e-05
  2.164273e+00   4.008670e-04   3.029491e-05
  2.169435e+00   4.175950e-04   3.023592e-05
  2.174597e+00   3.713610e-04   3.007860e-05
  2.179758e+00   3.961458e-04   2.977070e-05
  2.184920e+00   4.399454e-04   2.934911e-05
  2.190082e+00   4.080317e-04   2.917403e-05
  2.195244e+00   4.143310e-04   2.929039e-05
  2.200405e+00   3.799514e-04   2.911171e-05
  2.205567e+00   3.571437e-04   2.878728e-05
  2.210729e+00   4.100358e-04   2.884848e-05
  2.215891e+00   3.709620e-04   2.868935e-05
  2.221052e+00   3.512927e-04   2.844130e-05
  2.226214e+00   3.651558e-04   2.866129e-05
  2.231376e+00   3.225668e-04   2.842164e-05
  2.236538e+00   3.860848e-04   2.850262e-05
  2.241699e+00   3.735758e-04   2.857717e-05
  2.246861e+00   3.661780e-04   2.843040e-05
  2.252023e+00   3.861924e-04   2.815666e-05
  2.257185e+00   3.447916e-04   2.841637e-05
  2.262347e+00   3.383892e-04   2.813006e-05
  2.267508e+00   3.316728e-04   2.811045e-05
  2.272670e+00   3.655996e-04   2.831644e-05
  2.277832e+00   3.370620e-04   2.811766e-05
  2.282994e+00   3.211500e-04   2.814829e-05
  2.288155e+00   3.325202e-04   2.840062e-05
  2.293317e+00   3.296598e-04   2.801820e-05
  2.298479e+00   3.001268e-04   2.805377e-05
  2.303641e+00   3.640079e-04   2.819211e-05
  2.308802e+00   3.402991e-04   2.794214e-05
  2.313964e+00   3.131514e-04   2.786008e-05
  2.319126e+00   3.512075e-04   2.808717e-05
  2.324288e+00   3.170207e-04   2.781548e-05
  2.329449e+00   3.300902e-04   2.797866e-05
  2.334611e+00   3.477597e-04   2.803670e-05
  2.339773e+00   3.044355e-04   2.782202e-05
  2.344935e+00   3.577310e-04   2.785260e-05
  2.350096e+00   3.244857e-04   2.790148e-05
  2.355258e+00   3.049017e-04   2.764245e-05
  2.360420e+00   3.698589e-04   2.777532e-05
  2.365582e+00   3.191369e-04   2.781703e-05
  2.370744e+00   3.168324e-04   2.774050e-05
  2.375905e+00   3.492034e-04   2.769247e-05
  2.381067e+00   3.080716e-04   2.791308e-05
  2.386229e+00   2.818161e-04   2.752017e-05
  2.391391e+00   3.098381e-04   2.764111e-05
  2.396552e+00   3.472038e-04   2.772789e-05
  2.401714e+00   2.476920e-04   2.750050e-05
  2.406876e+00   2.982751e-04   2.755097e-05
  2.412038e+00   3.001941e-04   2.764862e-05
  2.417199e+00   2.834257e-04   2.741722e-05
  2.422361e+00   2.828025e-04   2.759929e-05
  2.427523e+00   3.175408e-04   2.759449e-05
  2.432685e+00   3.206613e-04   2.746394e-05
  2.437846e+00   3.308748e-04   2.729495e-05
  2.443008e+00   2.828159e-04   2.739639e-05
  2.448170e+00   2.993198e-04   2.715047e-05
  2.453332e+00   2.607839e-04   2.730602e-05
  2.458493e+00   3.242212e-04   2.724433e-05
  2.463655e+00   2.984141e-04   2.708837e-05
  2.468817e+00   2.570088e-04   2.712629e-05
  2.473979e+00   2.893260e-04   2.720930e-05
  2.479141e+00   2.585646e-04   2.695595e-05
  2.484302e+00   2.558789e-04   2.707339e-05
  2.489464e+00   3.301440e-04   2.706211e-05
  2.494626e+00   3.248355e-04   2.690632e-05
  2.499788e+00   2.685270e-04   2.701801e-05
  2.504949e+00   2.865327e-04   2.701144e-05
  2.510111e+00   2.710556e-04   2.689099e-05
  2.515273e+00   2.807311e-04   2.699696e-05
  2.520435e+00   3.362595e-04   2.709322e-05
  2.525596e+00   2.672760e-04   2.686118e-05
  2.530758e+00   3.145100e-04   2.689403e-05
  2.535920e+00   2.475082e-04   2.694012e-05
  2.541082e+00   2.581117e-04   2.681734e-05
  2.546243e+00   2.986741e-04   2.691702e-05
  2.551405e+00   2.480597e-04   2.683100e-05
  2.556567e+00   2.704638e-04   2.682617e-05
  2.561729e+00   2.506377e-04   2.689828e-05
  2.566890e+00   2.504718e-04   2.693230e-05
  2.572052e+00   2.537403e-04   2.701123e-05
  2.577214e+00   2.638910e-04   2.747295e-05
  2.582376e+00   2.467460e-04   2.779499e-05
  2.587538e+00   2.892678e-04   2.802489e-05
  2.592699e+00   2.669129e-04   2.806289e-05
  2.597861e+00   2.312644e-04   2.812423e-05
  2.603023e+00   2.300987e-04   2.749292e-05
  2.608185e+00   2.305560e-04   2.750936e-05
  2.613346e+00   2.789466e-04   2.747376e-05
  2.618508e+00   2.285340e-04   2.720239e-05
  2.623670e+00   2.534264e-04   2.724667e-05
  2.628832e+00   2.168948e-04   2.720086e-05
  2.633993e+00   2.485798e-04   2.696586e-05
  2.639155e+00   2.205667e-04   2.709032e-05
  2.644317e+00   2.397248e-04   2.712384e-05
  2.649479e+00   2.447329e-04   2.707378e-05
  2.654640e+00   2.477279e-04   2.714627e-05
  2.659802e+00   2.570985e-04   2.714338e-05
  2.664964e+00   2.476697e-04   2.699143e-05
  2.670126e+00   2.302242e-04   2.704006e-05
  2.675287e+00   2.436120e-04   2.704983e-05
  2.680449e+00   2.385591e-04   2.686043e-05
  2.685611e+00   2.568698e-04   2.703776e-05
  2.690773e+00   2.661193e-04   2.692808e-05
  2.695935e+00   2.116087e-04   2.687574e-05
  2.701096e+00   2.842866e-04   2.701583e-05
  2.706258e+00   2.757006e-04   2.695218e-05
  2.711420e+00   2.411192e-04   2.684539e-05
  2.716581e+00   2.376355e-04   2.688420e-05
  2.721743e+00   2.394109e-04   2.688081e-05
  2.726905e+00   2.538883e-04   2.674333e-05
  2.732067e+00   2.438407e-04   2.693087e-05
  2.737228e+00   2.506063e-04   2.680948e-05
  2.742390e+00   2.335062e-04   2.675118e-05
  2.747552e+00   2.768753e-04   2.684732e-05
  2.752714e+00   2.421773e-04   2.681038e-05
  2.757875e+00   2.325601e-04   2.672438e-05
  2.763037e+00   2.535520e-04   2.670055e-05
  2.768199e+00   2.537941e-04   2.667315e-05
  2.773361e+00   2.138997e-04   2.653386e-05
  2.778522e+00   2.360349e-04   2.669404e-05
  2.783684e+00   2.366267e-04   2.663996e-05
  2.788846e+00   1.938091e-04   2.652644e-05
  2.794008e+00   2.219656e-04   2.663964e-05
  2.799170e+00   2.712754e-04   2.667070e-05
  2.804331e+00   2.770770e-04   2.639877e-05
  2.809493e+00   2.294217e-04   2.657907e-05
  2.814655e+00   2.350126e-04   2.644226e-05
  2.819817e+00   1.940512e-04   2.626964e-05
  2.824978e+00   2.649132e-04   2.651311e-05
  2.830140e+00   2.276821e-04   2.638764e-05
  2.835302e+00   2.324795e-04   2.636939e-05
  2.840464e+00   2.224632e-04   2.651652e-05
  2.845625e+00   2.506108e-04   2.653163e-05
  2.850787e+00   2.289195e-04   2.634593e-05
  2.855949e+00   2.057981e-04   2.645621e-05
  2.861111e+00   2.345419e-04   2.639284e-05
  2.866272e+00   2.588291e-04   2.629978e-05
  2.871434e+00   2.448809e-04   2.650793e-05
  2.876596e+00   2.240325e-04   2.630493e-05
