q[nm-1]	merged(TipAS_1.96mgml-1_15deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_15deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_15deg_1-2_ave_sub.dat],scale_high,lq=0.9058,hq=1.0031)	error
2.25202300e+00	2.79999655e-04	2.79930265e-05
2.25718500e+00	3.13043977e-04	2.82573076e-05
2.26234700e+00	3.28356289e-04	2.79813664e-05
2.26750800e+00	2.87608837e-04	2.79402560e-05
2.27267000e+00	3.09058011e-04	2.81637217e-05
2.27783200e+00	3.15416748e-04	2.79575035e-05
2.28299400e+00	2.70384640e-04	2.79721049e-05
2.28815500e+00	3.06548649e-04	2.82174822e-05
2.29331700e+00	2.75138844e-04	2.78924445e-05
2.29847900e+00	3.07824699e-04	2.79110056e-05
2.30364100e+00	2.58439496e-04	2.80452069e-05
2.30880200e+00	2.57428155e-04	2.77794600e-05
2.31396400e+00	2.71199804e-04	2.77152006e-05
2.31912600e+00	2.83161985e-04	2.79217425e-05
2.32428800e+00	2.40844077e-04	2.76304860e-05
2.32944900e+00	2.86823656e-04	2.78261387e-05
2.33461100e+00	2.93971858e-04	2.79010969e-05
2.33977300e+00	2.52114930e-04	2.76928036e-05
2.34493500e+00	2.68250878e-04	2.76852364e-05
2.35009600e+00	2.57705524e-04	2.77594997e-05
2.35525800e+00	2.26782209e-04	2.74660158e-05
2.36042000e+00	2.96310648e-04	2.75910128e-05
2.36558200e+00	2.52144818e-04	2.76695213e-05
2.37074400e+00	2.35172384e-04	2.75811706e-05
2.37590500e+00	2.45457407e-04	2.75268295e-05
2.38106700e+00	2.18921263e-04	2.77189128e-05
2.38622900e+00	2.97279346e-04	2.73733533e-05
2.39139100e+00	2.69001983e-04	2.74944190e-05
2.39655200e+00	2.96366046e-04	2.76131909e-05
2.40171400e+00	2.29786723e-04	2.73524792e-05
2.40687600e+00	2.35978982e-04	2.73944558e-05
2.41203800e+00	2.41296491e-04	2.74774000e-05
2.41719900e+00	2.23440645e-04	2.72313849e-05
2.42236100e+00	2.28856290e-04	2.74186232e-05
2.42752300e+00	2.73743337e-04	2.74288271e-05
2.43268500e+00	2.31579056e-04	2.72600736e-05
2.43784600e+00	1.96179001e-04	2.71480599e-05
2.44300800e+00	2.32116756e-04	2.72220948e-05
2.44817000e+00	1.93400837e-04	2.69631726e-05
2.45333200e+00	2.00514867e-04	2.71610241e-05
2.45849300e+00	2.26547483e-04	2.71108712e-05
2.46365500e+00	2.29513542e-04	2.69110303e-05
2.46881700e+00	1.99622984e-04	2.69599173e-05
2.47397900e+00	2.00613098e-04	2.70007136e-05
2.47914100e+00	2.62092695e-04	2.67533469e-05
2.48430200e+00	2.55947268e-04	2.69434598e-05
2.48946400e+00	2.29351347e-04	2.69199967e-05
2.49462600e+00	2.39213939e-04	2.67220025e-05
2.49978800e+00	2.26773643e-04	2.68559658e-05
2.50494900e+00	2.35710180e-04	2.68585072e-05
2.51011100e+00	2.47484561e-04	2.67545176e-05
2.51527300e+00	2.31655871e-04	2.68231175e-05
2.52043500e+00	2.05875114e-04	2.69214721e-05
2.52559600e+00	1.90016535e-04	2.66780175e-05
2.53075800e+00	2.68071645e-04	2.67477785e-05
2.53592000e+00	2.62118300e-04	2.68088112e-05
2.54108200e+00	1.88074762e-04	2.66407335e-05
2.54624300e+00	2.15950920e-04	2.67733833e-05
2.55140500e+00	2.15519923e-04	2.67027561e-05
2.55656700e+00	2.29931785e-04	2.67099235e-05
2.56172900e+00	1.98765177e-04	2.67522046e-05
2.56689000e+00	1.93686678e-04	2.67463413e-05
2.57205200e+00	2.56647163e-04	2.68646181e-05
2.57721400e+00	2.11653414e-04	2.73488526e-05
2.58237600e+00	2.30153661e-04	2.76679127e-05
2.58753800e+00	2.34327427e-04	2.78329349e-05
2.59269900e+00	1.96831970e-04	2.79062464e-05
2.59786100e+00	1.93823268e-04	2.79874582e-05
2.60302300e+00	2.13958032e-04	2.73835952e-05
2.60818500e+00	2.10714604e-04	2.73810823e-05
2.61334600e+00	1.78523806e-04	2.72962725e-05
2.61850800e+00	1.81220967e-04	2.70564920e-05
2.62367000e+00	2.03305977e-04	2.70786606e-05
2.62883200e+00	2.11051749e-04	2.70371504e-05
2.63399300e+00	1.49452695e-04	2.68074786e-05
2.63915500e+00	2.33089832e-04	2.69782595e-05
2.64431700e+00	2.19326656e-04	2.70082332e-05
