q[nm-1]	merged(TipAS_1.96mgml-1_30degBack_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30degBACK_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30degBACK_1-2_ave_sub.dat],scale_high,lq=0.8992,hq=1.0068)	error
1.93199400e+00	5.14646448e-04	2.43597072e-05
1.93715600e+00	4.48946386e-04	2.41317282e-05
1.94231700e+00	5.03382785e-04	2.41194698e-05
1.94747900e+00	4.86042008e-04	2.42803769e-05
1.95264100e+00	5.06988954e-04	2.41824024e-05
1.95780300e+00	5.21832453e-04	2.40909314e-05
1.96296400e+00	4.32190344e-04	2.41757810e-05
1.96812600e+00	4.89353959e-04	2.41592906e-05
1.97328800e+00	4.40851225e-04	2.40496383e-05
1.97845000e+00	4.74012553e-04	2.41953507e-05
1.98361100e+00	4.54698909e-04	2.40649760e-05
1.98877300e+00	4.21481126e-04	2.39496697e-05
1.99393500e+00	4.24008440e-04	2.40874651e-05
1.99909700e+00	4.82054794e-04	2.39574942e-05
2.00425900e+00	4.72356535e-04	2.39638211e-05
2.00942000e+00	4.23257792e-04	2.40714038e-05
2.01458200e+00	3.99549639e-04	2.40067634e-05
2.01974400e+00	4.36622629e-04	2.39202732e-05
2.02490600e+00	3.83698967e-04	2.39933523e-05
2.03006700e+00	4.40892787e-04	2.39455303e-05
2.03522900e+00	3.79666404e-04	2.37370621e-05
2.04039100e+00	3.76803394e-04	2.39521938e-05
2.04555300e+00	3.62518127e-04	2.38018708e-05
2.05071400e+00	3.90488783e-04	2.38042771e-05
2.05587600e+00	3.68402741e-04	2.39134162e-05
2.06103800e+00	3.58357428e-04	2.37522567e-05
2.06620000e+00	3.93069017e-04	2.38289368e-05
2.07136200e+00	3.57421937e-04	2.38440137e-05
2.07652300e+00	3.90232341e-04	2.36845874e-05
2.08168500e+00	3.75596318e-04	2.36522546e-05
2.08684700e+00	3.98565098e-04	2.37923300e-05
2.09200800e+00	4.13925350e-04	2.37183926e-05
2.09717000e+00	4.05192787e-04	2.36504625e-05
2.10233200e+00	3.43449735e-04	2.37473769e-05
2.10749400e+00	3.67904749e-04	2.37265116e-05
2.11265500e+00	3.42902777e-04	2.42422388e-05
2.11781700e+00	3.51450497e-04	2.44873980e-05
2.12297900e+00	3.68772343e-04	2.45170218e-05
2.12814100e+00	3.42374665e-04	2.47266090e-05
2.13330200e+00	3.59579565e-04	2.49315857e-05
2.13846400e+00	3.65532075e-04	2.49208333e-05
2.14362600e+00	3.25826098e-04	2.52659191e-05
2.14878800e+00	3.73985564e-04	2.53543023e-05
2.15394900e+00	2.84656435e-04	2.53405210e-05
2.15911100e+00	3.47998967e-04	2.55024293e-05
2.16427300e+00	3.85234168e-04	2.56540227e-05
2.16943500e+00	3.09707542e-04	2.55800265e-05
2.17459700e+00	2.86806658e-04	2.54594198e-05
2.17975800e+00	3.03306091e-04	2.51731440e-05
2.18492000e+00	3.51024272e-04	2.48336869e-05
2.19008200e+00	3.48719494e-04	2.47047172e-05
2.19524400e+00	3.06154125e-04	2.47846449e-05
2.20040500e+00	3.25505462e-04	2.46469590e-05
2.20556700e+00	3.29040033e-04	2.44026663e-05
2.21072900e+00	2.93158975e-04	2.44328621e-05
2.21589100e+00	2.76512392e-04	2.42891016e-05
2.22105200e+00	2.97994937e-04	2.41025083e-05
2.22621400e+00	3.27497092e-04	2.43140222e-05
2.23137600e+00	3.06610554e-04	2.40538955e-05
2.23653800e+00	2.66425516e-04	2.41372558e-05
2.24169900e+00	2.93313614e-04	2.41325611e-05
2.24686100e+00	3.13517401e-04	2.40750721e-05
2.25202300e+00	2.32377748e-04	2.38294585e-05
2.25718500e+00	3.06410651e-04	2.40904014e-05
2.26234700e+00	2.71634867e-04	2.38025271e-05
2.26750800e+00	3.56561831e-04	2.38586868e-05
2.27267000e+00	2.72042330e-04	2.39789653e-05
2.27783200e+00	2.54135750e-04	2.37859694e-05
2.28299400e+00	2.94090680e-04	2.38423058e-05
2.28815500e+00	3.38149855e-04	2.40518510e-05
2.29331700e+00	2.51751717e-04	2.37214299e-05
2.29847900e+00	2.45071192e-04	2.37600897e-05
2.30364100e+00	2.45222129e-04	2.38547072e-05
2.30880200e+00	2.89549020e-04	2.36505382e-05
2.31396400e+00	2.87753423e-04	2.36172547e-05
2.31912600e+00	2.89130283e-04	2.37870800e-05
2.32428800e+00	2.60853967e-04	2.35394976e-05
2.32944900e+00	2.37130753e-04	2.36737425e-05
2.33461100e+00	2.78832230e-04	2.37610151e-05
